GENE_SYMBOL,logFC,P.Value
SLC2A4RG,0.8290761,5.84e-05
KCNQ1DN,-0.7695923,6e-05
PCYT2,0.7554477,6.03e-05
LCP1,-1.1085998,6.23e-05
IL10RA,0.7403564,6.33e-05
LOC100507250,1.1329457,6.36e-05
BGLAP,0.690639,6.36e-05
MTG1,-0.9926641,6.62e-05
LOC388882,-1.1123698,6.7e-05
NPM3,1.1410942,6.8e-05
FDFT1,0.6841866,6.85e-05
DOK3,-0.6477559,6.85e-05
LRRN3,-0.7192053,6.97e-05
C11orf41,-0.8368518,7.03e-05
C21orf62,-1.0806013,7.07e-05
PPIL6,0.7030719,7.1e-05
FYCO1,0.8092,7.11e-05
TOB2P1,-0.8787833,7.17e-05
TRIM47,0.7654928,7.24e-05
XLOC_003204,0.7368482,7.34e-05
LRRC66,-1.2670406,7.5e-05
LOC100507217,-1.0431018,7.6e-05
C15orf39,-0.8276999,7.75e-05
SFXN4,0.6950773,7.89e-05
C20orf141,0.7016186,7.97e-05
ACOT13,0.7864644,8.12e-05
LOC254057,0.8041772,8.12e-05
SYT5,-0.6860165,8.21e-05
RILPL1,0.860354,8.28e-05
LHX2,-0.7658944,8.4e-05
STARD4,0.7355047,8.6e-05
MT2A,0.7650569,8.63e-05
YTHDC1,-0.6390099,8.66e-05
POU3F4,-0.8107902,8.73e-05
PP14571,-0.8140349,8.8e-05
CAMK2N1,0.9169231,8.87e-05
C14orf79,-0.6646328,8.91e-05
TMEM88,-0.6925731,8.99e-05
NPC2,0.8437,9e-05
XLOC_l2_000353,0.8799989,9.02e-05
C9orf9,0.6654657,9.12e-05
ELFN2,0.7836237,9.18e-05
XLOC_004908,-0.9371545,9.21e-05
XLOC_005991,-1.0844123,9.23e-05
LRRC8A,-0.5995729,9.26e-05
KIAA1908,-0.9103449,9.49e-05
FAM175A,0.8146623,9.57e-05
SRSF3,-0.6997602,9.62e-05
CACNG1,1.2931775,9.66e-05
ZFP36,0.7657781,9.69e-05
LOC100506476,0.845304,9.99e-05
NCAPG,-0.7007773,0.000101
RECQL4,-0.6605298,0.000102
DBNL,-0.6453988,0.000103
SLC9A9,-0.7047982,0.000103
LOC100128108,0.669888,0.000104
LITAF,1.1673031,0.000104
IPW,-0.5963894,0.000106
BMP5,-1.0151028,0.000108
XLOC_008667,0.6437143,0.000108
ZNF547,-0.7033683,0.000109
CNN2,1.0718883,0.00011
LYPD1,-0.951886,0.00011
IFI27L2,0.7023745,0.000111
SLC16A3,0.6924928,0.000111
ENDOD1,0.7106571,0.000112
DDX5,-0.7055444,0.000112
TNFAIP3,1.2116697,0.000112
OBSL1,-0.7694228,0.000113
CCDC96,-0.7695963,0.000115
DCXR,0.7086534,0.000115
COL5A2,-0.7520558,0.000116
MMP23B,1.0180806,0.000116
CORO1A,-0.6413305,0.000117
COX19,-0.7300743,0.000117
GHDC,0.6909043,0.000118
LOC100507303,0.9141304,0.000118
GSTM3,0.6092968,0.000119
DEFA8P,-0.9353299,0.000119
C1orf213,0.7061369,0.000122
CNGA4,-0.7936356,0.000123
HBQ1,0.8247892,0.000124
PKN3,0.7962602,0.000124
C17orf61,0.6987816,0.000127
SLC16A6,0.9970375,0.00013
FAM131C,0.8552127,0.000131
LOC284865,-0.7103651,0.000132
RALYL,-1.1666231,0.000136
DHCR7,0.6612579,0.000137
LIMD2,-0.7526287,0.000139
LRTM2,-1.255131,0.000139
UBTF,-0.6804216,0.00014
COL23A1,0.9447547,0.00014
EFHC1,-0.7040824,0.000141
XLOC_000527,0.6182691,0.000141
LOC100506295,-0.7438737,0.000141
FAM5B,-0.7905986,0.000143
ERCC2,0.6796926,0.000145
CHAC1,-0.6476188,0.000145
LDHD,0.6708276,0.000146
NGFR,-0.598955,0.000146
VCAN,-0.7480358,0.00015
LOC389493,0.8105084,0.000151
SLC39A4,0.6195237,0.000151
C17orf97,-0.9606585,0.000152
FABP7,0.6560632,0.000152
PCBD1,0.5719116,0.000153
ACTA1,2.231693,0.000153
LSS,0.7291281,0.000154
MCAM,0.7898069,0.000156
HLA-DRB6,-0.7405874,0.000159
MGAT4C,-0.7201596,0.000159
CCNB1IP1,0.6910139,0.00016
HEXB,0.6695857,0.000161
GBA,-0.6088693,0.000164
GANC,0.753684,0.000164
SNORA8,0.6267858,0.000165
ACAT2,0.6879438,0.000166
HEXA,-0.6862121,0.000168
TSPO,0.6810592,0.000168
COPG2IT1,1.2768462,0.000169
R3HDM2,0.6483461,0.000169
ZNF446,-0.5860924,0.000172
RABGGTB,0.6225458,0.000172
NPTX2,0.757655,0.000173
PGM1,0.6609643,0.000174
CCL27,-0.8501977,0.000174
PLEKHG3,-0.6449805,0.000175
KCNIP4,0.8827404,0.000177
NTN1,-0.8276861,0.00018
FRMPD2,-0.6984222,0.000181
PDZRN4,-1.0380154,0.000182
MXD4,-0.6423719,0.000182
FHL2,0.6068438,0.000183
LOC441461,0.8567538,0.000184
HSD3B7,0.8182842,0.000187
AMY1C,-0.5449229,0.000189
MAGED1,-0.7081878,0.00019
AP1G2,-0.9601118,0.000192
BEND6,0.6543625,0.000193
TCIRG1,0.837198,0.000193
HIST1H1D,0.8372329,0.000193
MGEA5,-0.8460408,0.000193
LOC100507291,0.6017084,0.000194
C12orf5,-0.7523309,0.000194
CYB5D2,-0.6676199,0.000195
CABP2,-0.8795559,0.000197
PON2,0.6012686,0.000198
PPP1R27,0.7886531,0.000198
TTC7B,0.689441,0.000199
LOC100506662,0.776359,0.000201
LOC100507331,-0.8497989,0.000204
NIM1,-0.781316,0.000206
TRIM45,0.5540556,0.000207
AASS,0.7029548,0.000207
XLOC_l2_013031,-0.7480358,0.000208
HHLA3,0.5576525,0.000211
ISG15,0.7660939,0.000212
PIR,0.6231719,0.000212
FBXW9,-0.5748693,0.000212
AP3B2,-0.5824333,0.000213
C19orf70,0.6422029,0.000218
SSFA2,0.6497773,0.000221
SLC16A9,0.6715512,0.000222
TNC,1.4756303,0.000223
C2orf81,-0.6244391,0.000223
RNASEH2C,-0.6333105,0.000224
PHGDH,-0.9617614,0.000226
MVP,0.8372453,0.000228
RASAL3,0.5670698,0.000231
WLS,-0.5463063,0.000232
PRR5-ARHGAP8,0.8966888,0.000233
TEAD3,0.7674751,0.000235
EMX2OS,-0.6378677,0.000237
ELAVL4,-0.6826055,0.000238
TCEB2,-0.7437622,0.000239
SLC25A37,0.6485154,0.000239
FBXO27,0.6208261,0.00024
ABCG8,-0.6225507,0.000241
MOXD1,0.5468811,0.000241
SRSF10,-0.5798305,0.000242
FKBP11,-0.6182271,0.000243
XLOC_011305,-0.605066,0.000244
FAT1,1.068885,0.000244
BAI3,-0.7295902,0.000248
FAM162A,0.6283543,0.000248
SAMD5,0.6429516,0.000251
CABP7,-0.8194647,0.000255
SNTG2,0.6069078,0.000256
CNFN,0.7286732,0.000257
GAL3ST1,0.6214778,0.000257
LOC100192378,-0.8862,0.000257
SFR1,0.7911127,0.000258
GJC3,-0.6018147,0.00026
HTR5A,-1.0820863,0.000263
MFNG,0.7939996,0.000265
ZDHHC16,-0.5027029,0.00027
ZNF281,-0.5415982,0.000272
CDC42EP1,1.0610975,0.000274
SCARNA2,1.0783217,0.000274
OLFML3,-0.7040243,0.000275
TMEM120A,0.6120697,0.000279
ASNS,-0.5287279,0.00028
CREB5,0.5582179,0.000288
OXCT1,0.6732326,0.00029
PNRC1,-0.6183731,0.000292
ZNF207,-0.6560316,0.000292
FXYD7,-0.6058923,0.000293
HES2,0.6752082,0.000294
ZIC4,-0.6045257,0.000295
ZNF655,-0.5512428,0.000297
LOC388588,0.5859449,0.000298
DCUN1D3,-0.5406713,0.000301
ADAMTS10,-0.6549125,0.000302
MMP24,-0.5766416,0.000303
RAB37,0.7098459,0.000303
MTCP1NB,0.6084936,0.000304
CPSF4,-0.5279653,0.000309
RFFL,0.6973072,0.00031
LOC100505894,0.7065032,0.000314
CECR1,0.566417,0.000315
SLC16A14,0.7797119,0.00032
EWSR1,-0.8035081,0.000322
XLOC_l2_014694,-0.651648,0.000323
SRCRB4D,0.7786742,0.000324
DPY19L1P1,0.5644374,0.000324
ACVRL1,-0.6022674,0.000324
XLOC_l2_015098,-0.5273446,0.000326
SFRP1,0.6987663,0.000326
HMOX1,1.0706037,0.000326
GLYCTK,-0.624638,0.000326
C6orf222,-0.54221,0.000328
C2orf28,0.6059821,0.000329
XLOC_010778,-0.5709221,0.000331
DUSP1,0.515022,0.000332
FLJ46906,0.577183,0.000335
SPINT2,0.5823934,0.000335
PAQR5,0.6134481,0.000341
CLEC4G,0.6200226,0.000343
IGSF21,1.1321633,0.000344
C9orf116,-0.5106228,0.000346
FAM32A,-0.6130268,0.000349
PPFIBP2,-0.5113009,0.00035
GRM2,-0.5689938,0.00035
TRO,0.6282623,0.000351
ANKRD37,0.7563626,0.000352
PCDHB7,-0.7180117,0.000353
PPAN-P2RY11,-0.6027688,0.000355
NCOR2,0.7620369,0.000356
CCNB3,0.6920644,0.000357
TMEM141,0.4985468,0.000358
PTK6,0.6554905,0.000358
CCDC8,0.5747861,0.00036
DPCR1,1.087713,0.000361
ZNF436,-0.529218,0.000362
GAS1,0.9626486,0.000362
DCT,-0.6783876,0.000362
ELF4,0.5209255,0.000369
DHCR24,0.5361556,0.000372
DEDD2,-0.5509779,0.000372
SLC32A1,0.8916517,0.000374
HSPB1,0.5176936,0.000377
XLOC_013986,-0.6785761,0.00038
PCDH11Y,-0.606577,0.00038
RTEL1,-0.5205814,0.00038
PCOLCE2,-0.5792908,0.000384
HYI,0.5799577,0.000386
LINC00487,-0.5908721,0.000395
NRGN,-0.6530681,0.000395
RAB4A,0.5976063,0.000397
CYBASC3,-0.582527,0.000398
ASAP2,0.5589267,0.0004
STAT5A,0.8633998,0.0004
METRNL,0.5804579,0.000401
VCP,-0.6715963,0.000401
PYCRL,-0.4938487,0.000403
MED10,-0.5574436,0.000403
KLRD1,-0.530452,0.000404
SNHG13,0.5366862,0.000404
QPCT,0.5606471,0.000405
ODC1,0.6817099,0.000406
MIOX,0.5265199,0.000406
MC1R,-0.9328664,0.000409
SULF1,-0.7774568,0.000412
MAP7D1,-0.5322647,0.000415
FLJ46875,0.7024699,0.000415
COBLL1,0.5993706,0.000416
HP07349,0.5607169,0.000417
CEBPB,0.6017991,0.000418
C11orf45,-0.6682731,0.000421
LOC100527964,-0.673474,0.000422
SHC3,0.7822739,0.000423
COX17,0.5882413,0.000424
MORC2-AS1,-0.8291523,0.000427
ARHGAP8,1.0491709,0.000427
DTWD1,0.5387931,0.000428
TAMM41,-0.5881578,0.000429
CCDC157,-0.7239225,0.00043
SRSF2,-0.6070259,0.000431
OR5A1,-0.5911662,0.000438
TMEM106C,0.5527085,0.000438
TRIM58,-0.6860156,0.00044
ZBED6,-0.5547189,0.00044
LRRN4CL,-1.2147602,0.000443
LOC100131607,0.6128043,0.000446
ICA1,0.5232809,0.000452
RIPK1,-0.5585554,0.000456
ACYP1,0.6480538,0.000458
SEMA3D,-0.7892382,0.000458
CATSPERG,-0.4717981,0.000461
PNMAL2,-0.5233601,0.000462
AGAP3,0.497135,0.000466
PRSS27,-0.7310144,0.000466
KCNJ8,0.9003905,0.000467
CTSL1P8,0.7224262,0.000471
LOC100129250,0.7385213,0.000471
CMC1,0.5800818,0.000475
LOC100507495,-0.5450473,0.000475
ZNF326,-0.6802009,0.000475
MPP2,-0.5136964,0.000477
C17orf56,-0.5736408,0.000479
FLJ11235,-0.5081015,0.00048
NME9,-0.7304632,0.000485
FLVCR1-AS1,0.5527978,0.000485
KCND2,-0.8210875,0.000494
GNB4,0.5542445,0.000495
NXPH3,-0.7426819,0.000496
TSPYL4,-0.5305873,0.000498
DCLK1,-0.5304533,0.000498
ZSWIM7,0.6350582,0.000501
HDAC2,-0.4957914,0.000503
C16orf55,-0.4828103,0.000504
PRR5L,0.453138,0.000505
KIAA0753,-0.483528,0.000505
LOC152578,0.7477955,0.000509
CARKD,-0.5556427,0.000514
CA11,-0.5562622,0.000515
RHBDD2,-0.6665636,0.000515
SMG9,-0.7385404,0.000519
NTPCR,0.4570783,0.00052
CD200,-0.8274811,0.000521
PPP1R16A,-0.6577731,0.000523
COLEC11,0.5222354,0.000525
RDM1,0.7017822,0.000526
LOC100506661,-0.5737245,0.000527
LMNA,-0.4867893,0.000528
RXRA,0.7228918,0.000529
SLC29A1,0.5471732,0.00053
BNC2,-0.7065781,0.000533
CD40LG,-1.0080537,0.000535
STX3,0.7360615,0.000538
C16orf73,0.5351013,0.000546
LOC285540,0.6334706,0.000546
DNASE1L2,-0.5380318,0.000551
TRMT112,0.4916199,0.000551
HABP4,0.506901,0.000553
ATP5E,-0.4756103,0.000557
DHRS13,0.5110206,0.000558
NIT2,0.6033314,0.00056
XLOC_000812,0.6543259,0.000561
MPST,0.5343213,0.000561
TOX2,0.4849728,0.000561
EGFL6,1.0767032,0.000561
NAT14,-0.5792079,0.000562
RND1,-0.629378,0.000563
EPHA7,-0.5174372,0.000563
LOC284244,-0.5221388,0.000563
POU2F1,-0.4866533,0.000566
PPARGC1B,0.6270551,0.000567
LOC147804,-0.5525044,0.000568
ACSS2,0.7451416,0.000571
RAD50,0.5447972,0.000579
PCSK1N,-0.5900946,0.000582
C3orf78,0.6148408,0.000585
TXNL4B,-0.8630997,0.000588
RTP1,-0.7729914,0.00059
HNRNPM,-0.7010746,0.00059
EGR2,-0.7485378,0.000592
PYGL,0.5328878,0.000594
INTU,0.6426999,0.000596
C18orf1,1.0976811,0.000597
NAGLU,-0.515882,0.000598
HSPA12A,-0.5203519,0.000598
IAH1,0.4524053,0.000599
XLOC_l2_004371,0.5963959,0.0006
TGFB1I1,0.5675412,0.000603
BBIP1,0.4961209,0.000603
RUNX1T1,-0.5648654,0.000603
C12orf68,-0.5623471,0.000606
C10orf114,-0.5904722,0.000609
FRAT1,-0.6881971,0.000611
BMP4,-0.9863241,0.000611
CSDA,0.6444639,0.000611
ANKRD24,-0.6710995,0.000612
LOC100499467,-0.5160367,0.000612
STAC2,0.6929892,0.000612
AIMP1,0.4655553,0.000614
CPS1,0.5969609,0.000614
RYR2,-0.5685178,0.000616
PALM3,0.8460386,0.000616
XLOC_l2_008008,0.4649429,0.000617
SNAR-B2,-0.8515892,0.000618
HMHA1,0.7797053,0.000621
PLXNB1,-0.8188059,0.000624
LOC100130027,-0.6147657,0.000625
C9orf46,0.5919378,0.000627
SLC25A18,-1.1187139,0.000627
TSNAXIP1,-0.6608017,0.000628
TPM2,0.6358735,0.000629
ZNF259,0.4645608,0.00063
TUBA3C,-0.4563819,0.000633
FAM193B,-0.5753493,0.000635
C6orf112,0.5900579,0.000636
ALDH8A1,-0.6937199,0.000636
GATAD2A,0.4828439,0.000638
EDC3,-0.5138315,0.000641
ANTXR1,-0.601801,0.000643
IER3,-0.5490839,0.000645
ZNFX1-AS1,0.5816906,0.000647
LYPD3,-0.6349687,0.000647
MFSD4,-0.5828702,0.000648
CUX2,-0.5724126,0.000649
CELF4,-0.685418,0.000651
SNAR-F,-0.9729775,0.000653
LOH12CR1,0.5377861,0.000654
CRYBB2,-0.4950928,0.000655
KLK1,0.8701403,0.000658
PDRG1,-0.585883,0.000663
SSSCA1,0.4495576,0.000665
LOC100507372,-0.4632893,0.000668
CACNA2D2,-0.4871975,0.000671
ST8SIA3,-0.7872338,0.000674
NOTCH2,0.5957824,0.000674
CCDC167,0.459649,0.000677
FZR1,-0.5361115,0.000677
C20orf195,0.4507932,0.000679
INA,-0.4795292,0.000679
TNFRSF10D,0.6831157,0.000685
CHD3,-0.4440017,0.000686
LAMB2P1,-0.523487,0.000686
DHX29,-0.506235,0.000696
RHOQ,0.5964282,0.000701
ZMIZ2,0.4711411,0.000703
SUGP1,-0.5716371,0.00071
B9D2,-0.6027349,0.00071
ZNF552,-0.792712,0.000717
EMP2,0.8383486,0.000717
CPT1C,-0.4788739,0.000718
C16orf93,-0.7347975,0.000722
CDK16,-0.5062787,0.000723
ZGLP1,-0.5200252,0.000724
ITIH1,0.8290353,0.000725
BRF2,-0.4800645,0.000725
KYNU,-0.4476656,0.000725
GALR1,-0.6560557,0.000733
C10orf140,-0.573821,0.000736
XLOC_006817,-0.7179309,0.000738
C1orf204,0.9115173,0.000738
DDX56,-0.4963997,0.000739
KCNA6,-0.4569083,0.00074
EIF4B,0.4398588,0.000742
TMIE,-0.7166873,0.000743
TUBB,-0.4799892,0.000745
ARSG,0.6676262,0.000746
KIF17,0.4530355,0.000749
ZNF428,-0.5206683,0.00075
TDRKH,0.5010574,0.00075
GMPR,0.5388521,0.000751
FBXL14,0.7563388,0.000751
SETD4,-0.4984611,0.000753
KANSL2,-0.4484393,0.000755
DNAJC3-AS1,0.624543,0.000755
GAL,0.9450299,0.000756
PMF1-BGLAP,0.5715383,0.000757
FAM83H,-0.5833219,0.000762
ABCA1,-0.6192866,0.000762
AEBP1,0.4961988,0.000765
PNMA1,-0.4379327,0.000765
SLC10A4,-0.5622366,0.000766
TIGD3,-0.5407771,0.000767
SMARCA5-AS1,-0.6416378,0.00077
LOC401397,0.5024505,0.000775
CTXN3,-0.8123985,0.000777
TMEM56,-0.5593317,0.000779
MGC16703,-0.6353097,0.000788
PIM2,-0.7086846,0.000789
FOXN3,0.4843325,0.0008
AQP7P3,0.4727611,0.000802
ARHGAP22,-0.4323275,0.000803
CLEC4GP1,0.47575,0.00081
CXCR4,0.585611,0.000811
MZF1,-0.4495653,0.000812
TBC1D16,0.5260279,0.000816
VGF,0.572253,0.000816
RAB27B,-0.4645072,0.000816
OPN5,-0.4627518,0.000817
LOC100507619,0.4935289,0.000821
USP51,-0.6790208,0.000825
NXF1,-0.4413135,0.000826
MINA,0.5301232,0.000828
CBLN2,-0.6257802,0.000829
FOXJ1,-0.802181,0.000837
ZGPAT,-0.4868079,0.000844
WDR81,-0.5129744,0.000845
AQP11,0.44217,0.00085
NHLH1,0.6480436,0.00085
SELM,0.6255521,0.000852
PLP1,0.753258,0.00086
ZNF581,0.5669222,0.00086
CAPN2,0.4425215,0.00086
ZNF668,-0.4636532,0.00086
DGCR14,-0.4760402,0.000862
ATP6AP1L,0.5586085,0.000864
TIMELESS,0.5342328,0.000864
CDH3,0.755089,0.000866
CXADR,-0.6264827,0.000866
SLC39A11,0.4255335,0.000872
HIST2H2BE,-0.6877663,0.000872
SCML4,-1.0360234,0.000872
DDX26B,-0.4329836,0.000874
EFCAB4A,0.5198976,0.000877
TUBB4A,-0.5823558,0.000877
FSTL5,-0.5524424,0.000878
NPY5R,-0.5289638,0.00088
BTG3,0.5633555,0.00088
RPL27A,-0.9768183,0.000881
LOC645431,-0.6623304,0.000882
PPP2R5C,0.4537373,0.000891
LOC440104,-0.4231621,0.000892
IPPK,-0.469961,0.000892
LOC100132815,-0.536584,0.000898
RAC2,0.4689214,0.000898
SEMA3B,0.580562,0.0009
LGALSL,-0.5688067,0.000901
CXorf57,0.8597501,0.000902
PLK3,0.4354927,0.000903
WFDC1,0.5143607,0.000905
RBM23,-0.4441322,0.000908
PER3,0.5790978,0.00091
PITHD1,-0.560276,0.00091
SGK1,-0.7234483,0.000918
ZNF837,-0.531406,0.000927
HBP1,-0.4980229,0.000928
MURC,-0.5032512,0.000936
PRMT8,-0.7473394,0.000939
NDUFAF3,0.5011841,0.000941
FCGRT,0.4598684,0.000942
LOC100508384,-0.5596357,0.000943
ZNRF1,-0.4704994,0.000944
CAST,0.5309115,0.000944
MAN2B2,-0.4311448,0.000946
HSD17B14,0.7956032,0.000949
XLOC_011488,-0.4678466,0.000951
ELP2,0.5180601,0.000951
THBS4,0.6472345,0.000952
TTLL11,-0.6565142,0.000953
HYAL4,0.5832146,0.000959
FAM59A,-0.6120961,0.00096
ZNF710,-0.4874804,0.000962
OR7E37P,0.5382885,0.000967
KBTBD4,-0.4461247,0.000969
DHRS1,-0.5678976,0.000972
FAM207A,0.4503996,0.000973
CDC42EP3,-0.5750092,0.000976
GSDMB,0.5127978,0.00098
PUSL1,0.5331319,0.00098
NIPAL2,-0.5502872,0.000982
WDR45,-0.4232477,0.000983
TMEM99,0.4747065,0.000984
CTSF,-0.6140829,0.000985
LHX9,-0.7262794,0.000986
AP2A2,-0.6076916,0.000988
C14orf93,0.4392016,0.000988
UBE2D4,0.4607571,0.000989
ORMDL2,0.4070758,0.00099
TLCD1,0.473631,0.000993
APC,-0.7266828,0.000994
MPP5,0.5778558,0.000994
HIST1H2BG,-0.4971196,0.000996
GM2A,0.5688659,0.001
PTGR2,0.49054,0.00101
ANXA4,0.6132124,0.00101
ACCN4,-0.4571576,0.00102
SOX8,0.8071098,0.00102
IKBKG,-0.5060948,0.00102
PTGR1,0.5420251,0.00102
ZMYND12,0.5657505,0.00103
IDI1,0.4918454,0.00103
CDK6,0.8640918,0.00103
LHPP,0.4354381,0.00103
TOP1MT,0.4669681,0.00103
UPF3B,-0.426891,0.00103
TRIM27,-0.4931504,0.00103
PFKP,0.706905,0.00103
NEUROD2,0.7063105,0.00103
NPTX1,0.5841044,0.00104
TTLL12,0.4487765,0.00104
NUDT7,0.7414207,0.00104
NAALADL1,-0.7288077,0.00105
KCNIP2,-0.7286187,0.00105
PPOX,-0.4412351,0.00106
TRA2A,-0.559946,0.00107
C9orf129,-0.563512,0.00107
CTSL1,0.5190539,0.00107
PDGFA,0.6980217,0.00108
CMKLR1,0.5736233,0.00108
FRAT2,-0.4751459,0.00109
PCDH10,-0.5908046,0.00109
POLI,0.6012095,0.00109
SNX7,0.434392,0.00109
LIPA,0.4464828,0.00109
TMEM97,0.5350314,0.00111
DSC2,-0.580736,0.00111
MFSD6,-0.5808204,0.00111
RTKN,-0.4500083,0.00111
MAL,0.4905946,0.00112
XLOC_000505,-0.6201491,0.00112
SFXN3,-0.4035471,0.00114
CCDC17,-0.5366857,0.00114
LOC100505875,0.4702787,0.00114
LRBA,-0.5187438,0.00115
HNRNPUL2,-0.5288295,0.00115
POPDC3,0.579708,0.00115
GRIN3B,0.7240634,0.00115
C2orf3,0.4529311,0.00115
LZIC,0.4911513,0.00116
C19orf23,-0.4539411,0.00116
SNORA55,0.8271723,0.00116
MAB21L2,-0.4933761,0.00117
NCAM2,-0.5564997,0.00117
GATS,-0.4507602,0.00118
TOP2B,-0.3889308,0.00118
HLA-DRB4,0.5445221,0.00118
MBD3,-0.4013668,0.00118
TOMM34,0.4010854,0.00118
OR7E12P,0.6093197,0.00118
ZBBX,0.5377351,0.00118
FLJ37035,0.449389,0.00119
LOC284939,-0.3976214,0.00119
PPM1D,-0.4106727,0.00119
HPRT1,0.5619316,0.00119
RNF39,0.5418451,0.0012
NFYC,-0.3931759,0.0012
DHRS11,0.4810867,0.0012
ZNF804A,-0.4151215,0.0012
TRAPPC6A,-0.602217,0.00121
TAF10,0.5436637,0.00121
GREB1L,-0.5507245,0.00121
CTSA,-0.4380675,0.00121
FAM19A2,-0.6310557,0.00122
EEPD1,-0.4136038,0.00123
XLOC_012709,-0.7843622,0.00123
GBP3,-0.7324899,0.00123
FAM195A,0.3967357,0.00123
PHGR1,0.869716,0.00123
IER5,-0.508445,0.00124
THAP8,0.4125521,0.00124
OXR1,0.4820252,0.00125
ALDH6A1,0.4585026,0.00125
ZNF25,0.512652,0.00125
C1orf159,-0.4208232,0.00125
KLK15,-0.9039193,0.00126
ANKRD9,0.5494633,0.00126
HEG1,0.4199016,0.00126
CD302,0.4054879,0.00127
LOC283454,0.7703741,0.00127
ZNF24,-0.4290252,0.00127
DRGX,-0.6682747,0.00127
IZUMO4,-0.6306931,0.00127
SQLE,0.6288894,0.00128
ZNF239,0.4648713,0.00128
ACVR1C,0.5036709,0.00128
PLIN3,0.4471062,0.00128
RPS27L,0.4773599,0.00129
ABCB9,-0.45236,0.00129
MMP16,-0.6234222,0.00129
ZNF578,-0.4256177,0.0013
HESX1,0.3885824,0.0013
DYM,0.4952074,0.0013
VWC2L,-0.5975789,0.00131
KDELR2,0.4877538,0.00131
ZNF653,-0.4726265,0.00131
SAMD15,-0.5469782,0.00131
DIRAS2,0.6418096,0.00131
HK2,0.6917753,0.00132
LOC100128292,-0.5021012,0.00132
RHPN1,-0.5271062,0.00132
PLCL1,0.4457108,0.00132
GPCPD1,0.4200981,0.00133
SCARNA9,0.640534,0.00133
AMOTL2,-0.5220922,0.00133
ETFDH,0.4388249,0.00133
RSAD1,0.4279361,0.00133
DHRSX,0.4281841,0.00134
