GENE_SYMBOL,logFC,P.Value
SLC6A13,-0.335,0.01373558
GOLGA8E,-0.5215,0.013819284978334637
TK1,0.244,0.01383727
MYH9,0.2595,0.014009776339603128
LOC100506533,-0.215,0.01403456
RNF125,-0.338,0.0140462
NR1I2,-0.32,0.01405791
HGF,0.3185,0.014060319719412372
ACAA1,-0.241,0.01406884
STK39,0.839,0.01415779
PLCXD1,0.314,0.014187613703698384
ANKRD30BP2,-0.3886833333333333,0.014217735444339206
MOGAT1,0.386,0.01440817
CCL20,-0.262,0.01442068
LOC728723,-0.903,0.01443941
LOC100170939,-0.269,0.0145632
HAO2,-0.348,0.01461203
SLPI,-0.277,0.01462987
UNC93A,0.804,0.01466465
UGT2B7,-0.274,0.01482608
KCNA5,0.777,0.01485204
HCAR3,0.844,0.01495664
SCLY,0.194,0.014980728583698958
C5orf65,0.352,0.01498459
SRXN1,0.194,0.01509003
CCDC146,-0.24,0.01513679
CECR5-AS1,-0.357,0.01517315
NAGPA,0.214,0.01521335
LOC100132529,-0.242,0.01525104
MRC1,-0.596,0.01535101
CTSO,-0.293,0.01540977
DIXDC1,-0.28,0.01552141
TCEA3,-0.391,0.01555814
VCX2,0.6425000000000001,0.0155632784089641
MYOM1,-0.238,0.01559599
NOS1,-0.195,0.01561495403586051
LPIN2,-0.331,0.01577191
TAGLN2,0.369,0.01595132
SDCBP2,-0.244,0.01605348
MGC4294,0.775,0.01608856
GPHN,-0.39,0.01610855
STRN4,0.237,0.0161649
APOBEC3B,0.215,0.01620421
ATF7IP2,0.261,0.01626469
HIGD1C,-0.724,0.01635262
C16orf3,0.415,0.01638748
GPR153,-0.707,0.01640337
TSPO2,-0.191,0.016431128560657978
MSX1,0.578,0.01647685
LOC158696,-0.406,0.01655407
LAMA3,0.28900000000000003,0.016585476915100858
C1S,0.3335,0.016662252175850538
RCSD1,1.22,0.01666319
MYL9,0.309,0.01669021
B3GNT9,-0.187,0.01689557
ELF3,0.217,0.01691012
SCHIP1,-0.231,0.01694758
HPR,-0.333,0.01695015
ELL2,-0.333,0.01702476
SULT2A1,0.592,0.01702722
MAMDC4,-0.211,0.01703923
CLRN3,-0.541,0.01712067
EXOC3L4,-0.33,0.01718854
LOC728875,-0.182,0.017226268105992232
PSG9,0.328,0.01735057
DOCK9,0.24844000000000005,0.017387993094147017
KCNJ16,-0.451,0.01739536
PLIN5,-0.272,0.01747117
SPON1,0.541,0.01752511
LOC100131099,-0.568,0.01770978
GOLGA5,-0.213,0.01772764
OR51T1,-0.571,0.01778514
HOXD12,-0.433,0.01779809
SLC17A2,-0.5385,0.017854066862609104
COL5A2,-0.293,0.01788269
CUX2,0.275,0.01789214797879339
CXADR,-0.1855,0.01791367821889116
AHCYL1,0.195,0.017945970887888248
FGF12,-0.639,0.01803796
C1QL1,-0.487,0.01807136
PGF,0.47,0.018080854646704024
FGF11,0.368,0.0181479
RNF44,0.222,0.01815625
FAM59A,-0.188,0.01820214
FLG,0.07300000000000001,0.018239981213829325
ZBED3,-0.379,0.01824587
C4B,0.365,0.01826389
MT1X,-0.10345,0.018331689076168948
BVES,1.26,0.01861593
GRASP,0.351,0.01864153
HLF,-0.31,0.01871546
TNFRSF4,0.276,0.01880815
PCDH1,-0.2635,0.018818897776725494
APOC2,-0.228,0.01886083
HPGD,-0.542,0.01886792
CHKA,0.232,0.01889588
MECOM,0.16233333333333336,0.01893873671054747
TGFB1I1,0.238,0.01894024
ANKRD29,0.261,0.0189552
ITIH4,-0.215,0.01907404
IFT80,-0.298,0.01918425
PCOLCE2,0.205,0.0193096
PDK4,-0.38,0.01944058
DDX49,0.179,0.01954236
PELP1,0.17,0.01960159
MT1F,-0.379,0.01966821
LOC100505873,0.314,0.01967099
MTTP,-0.256,0.01971545
KRI1,0.207,0.01973146
CLEC4G,1.0465,0.01977841317446536
GABBR2,0.707,0.01983946
LOC340074,0.913,0.01984722
PHF17,-0.184,0.01985144701646414
TCF4,0.497,0.01987175
PRKCA,-0.186,0.01988561
LOC100130691,-0.498,0.01998018
C8B,-0.301,0.0200436
C9orf68,-0.417,0.020045333564043567
SEMA3B,0.225,0.02008409
OR2A5,0.783,0.02009895
SORL1,-0.303,0.02012287
C15orf42,-0.749,0.02012561
ANXA10,-0.526,0.02018876
MATN2,0.306,0.02025638
RUNDC3A,0.651,0.02032813
LOC440131,-0.36000000000000004,0.02034372603272655
VWA1,0.25866666666666666,0.020457322102627552
OR52L1,0.687,0.02045902
EIF4EBP1,0.219,0.02047177
YTHDC1,0.326,0.02063879
F2RL3,0.399,0.02067585
ZNF233,0.4795,0.020707798825766267
POR,0.11499999999999999,0.020719588647528327
PDE8A,-0.321,0.02081244
LRRTM4,-0.63253,0.020830689242474564
TAT,-1.05,0.02084458
SLC44A5,0.484,0.02085514
CPB2,-0.426,0.02085624
PTTG2,0.176,0.02102324
DGAT2L7,-1.41,0.02104259
CES5AP1,-0.422,0.02104686
LOC286272,1.02,0.02105144
GHRLOS2,0.617,0.02107451
CDH6,0.359,0.021104945621679302
FBN2,-0.274,0.02111934
XLOC_000515,-0.18633333333333332,0.021119741489619245
ALDH1B1,0.205,0.02117978
LOC100134409,0.567,0.02123194
COX3,0.197,0.02142092
SLC5A11,0.407,0.02145717
TTC26,0.315,0.02146108
RNF208,0.21733333333333335,0.021466744902967416
CTDSPL2,-0.339,0.02150845
ZC3H7B,-0.434,0.02158485
CCL5,0.615,0.02159746
HYAL3,-0.2125,0.021605893949331167
CDK4,0.191,0.02176056
TAPBPL,0.182,0.02180013
CRNDE,-0.337,0.02187124
CFHR3,-0.234,0.02188816
MTERFD3,-0.244,0.02191447
CRTAC1,0.968,0.02193468
VMAC,-0.185,0.02193513
FLJ45139,-0.629,0.02195965
C5orf4,-0.327,0.02202583
C20orf134,-0.19,0.0221452
CXorf57,-0.177,0.02215284
TRERF1,0.281,0.02221070687142666
CASC1,0.28600000000000003,0.02225863937929855
MYCBP,-0.191,0.02225972
ERCC6L,1.35,0.02227903
GPR155,-0.14146666666666666,0.022290306051927437
DKKL1,-0.95,0.02240388
ADRA1B,-0.41,0.02244924
PRY2,0.0013333333333333346,0.022521322944079387
MORC4,-0.204,0.02253625
RHOF,0.311,0.02257353
SDC1,-0.2,0.02258955
LOC100130193,1.19,0.02267251
APOA1,0.179,0.02270981597989091
SLC38A7,0.24,0.02274349
HSD52,-0.651,0.02274794
ANKRD28,-0.191,0.02275249
KANK4,0.3125,0.023009924026689322
NPR3,-0.3135,0.02303214769135454
SHISA9,0.343,0.023138274163575518
MT1H,-0.18515,0.023181334999326526
PROCR,0.197,0.02319514
APOH,-0.296,0.02325354
FOLH1,-0.43399999999999994,0.023305213969124446
SEPP1,-0.22749999999999998,0.02331711110047989
SIRPG,0.34853333333333336,0.023369587620974044
PAQR5,-0.275,0.02345472
CCL2,0.242,0.02350937
CTHRC1,0.401,0.02357345
PGBD2,0.25,0.02362372
TM6SF2,0.306,0.02369665
BMP2,-0.304,0.02373837
MYRIP,-0.451,0.02375819
XLOC_009185,-0.472,0.02376284
MOB3B,-0.314,0.02388554674974336
SCUBE3,-0.878,0.02388583
CAPN6,-0.738,0.02407008
OLFML3,0.477,0.02408582
TNKS2,0.181,0.02409763
BID,0.20450000000000002,0.024112668452305672
PPP1R16A,-0.272,0.02428209
PTPLAD1,-0.16549999999999998,0.024288915649325258
SLC48A1,0.1845,0.024308274344417936
CKB,-0.295,0.02433769
PTGFR,-0.3136666666666667,0.02434060526147972
GGT8P,-0.232,0.02436287
CKAP2L,-0.262,0.02447845
PTPRJ,0.2185,0.02448817373478599
SIAE,-0.264,0.02449294
KRT222,-0.294,0.02452601
LAT2,-0.259,0.02457283896379524
RNF24,0.219,0.02464491
LINC00111,1.02,0.02478714
USP27X,-0.429,0.02508352607585649
C10orf54,0.258,0.02508438
C11orf54,-0.23299999999999998,0.02516576963437096
SIRPA,0.224,0.02539146
CSRNP2,0.195,0.0254602
MEX3B,0.71,0.02547588
TRAM2,0.339,0.02554037
CDKN1C,-0.365,0.02554064
CDH10,-0.714,0.02562328
TMEM191A,-0.175,0.02562966
DPP6,-0.06670000000000002,0.025838642089688193
F2RL1,-0.191,0.02591868
DERA,-0.194,0.02592583
OIP5-AS1,-0.203,0.02593155
ENC1,0.332,0.02602068
LCP1,0.466,0.02602827
SNORA62,0.38,0.02604364
PHYHIP,0.43,0.02605546
LOC440149,-0.307,0.02606439
TUSC3,0.233,0.02608611
LOC100130741,0.691,0.02609427
PAR-SN,0.242,0.02611451
VSTM4,-0.435,0.026221236375972477
TBC1D8B,0.2005,0.02623254984487281
HMGA1,0.257,0.02635254
DLG2,-0.39666,0.02637371421999276
PDIA2,0.4,0.02664091
LOC283911,0.274,0.02664915
SH3BP4,0.11633333333333333,0.02666077449179272
LRRN4,1.19,0.02667469
LOC653075,-0.172,0.02668127
ZDHHC9,0.261,0.02676643
OXSM,0.26239999999999997,0.026776994982078237
ERCC1,0.1315,0.02682650186627481
SLC39A11,-0.16,0.02701293
RGS9,-0.312,0.02707496
F5,-0.557,0.02709531
KAZALD1,-0.435,0.027173429714743
DHRS12,0.0915,0.02734801752520073
SNRPB,0.178,0.02737934
LSAMP,0.818,0.02739669
ASGR2,-0.198,0.0274058
TSPAN1,-0.248,0.02741599
KHDRBS3,-0.1641,0.027482238262473542
HSD3B1,-1.23,0.02755104
TOX3,0.329,0.02757591
PTPRD,-0.288,0.02757858
DRG2,0.162,0.02758467
SLC2A4RG,-0.241,0.02758508
XLOC_009765,0.348,0.02776935
CDC25B,0.29,0.02776962
BHLHE40,0.321,0.02777138
NDUFS8,0.154,0.02778042
ST3GAL1,0.192,0.02778398
SLC25A18,-0.184,0.02788204
PDE3B,-0.213,0.02793468
SNORA53,0.332,0.02795786
SPSB2,-0.186,0.02812148
MARVELD1,-0.3,0.02821334
FCN3,0.3121,0.028232270511398084
CHADL,-0.181,0.02823445
RADIL,-1.08,0.02826259
FUT5,-0.678,0.02834516
GCC2,-0.10633333333333335,0.028345903832219622
WDR78,-0.23399999999999999,0.028395000150070702
COG3,-0.184,0.02853713
NEU1,0.197,0.02862967
TMEM100,-0.584,0.02864849
RTP3,0.199,0.02879633
ASIP,0.594,0.02882231
TRIM36,-0.4713333333333334,0.02883552622209029
FCGR2B,-0.403,0.02887894
PARVB,0.5335000000000001,0.02889173368703527
CCNI2,-1.03,0.02903063
ACTN4,0.218,0.02918812
LOC286071,-0.287,0.02924604
LOC730102,-0.24050000000000002,0.02925396171070733
ACVRL1,0.456,0.02926226
TDO2,-0.235,0.02932027
ANKRD37,-0.322,0.02937048
PFN2,0.265,0.02939644
LOC100288884,0.33999999999999997,0.029407430633273654
ZNF821,0.164,0.02941745
TEAD3,0.165,0.02952731
SLC25A15,-0.187,0.0295688
MME,-0.18566666666666665,0.029645448448248027
FGF1,-0.23066666666666666,0.029659995427332893
TRRAP,0.198,0.02968783
PPP1R11,0.179,0.02971704
SNAI2,-0.374,0.02973976
SGK1,0.338,0.02976212
GSTA7P,0.246,0.02982133
ARHGAP22,0.222,0.02986268
KIAA1147,-0.179,0.030050858489292082
CFHR2,0.509,0.03007809
POLQ,0.294,0.03009446
MEF2C,0.463,0.0301189
ITGA1,-0.258,0.03021962
MAP3K10,0.179,0.03033078
ENO3,-0.259,0.0304631
CWH43,-0.369,0.03052925
AKR1B10,0.1585,0.03053668555597041
NAT6,-0.2,0.03088701
XLOC_008925,0.658,0.03105353
SGMS1,-0.271,0.03106216
HMGCL,-0.2275,0.031090972439981497
ELMO1,0.266,0.03112127
DKFZp686A05212,0.347,0.03120044
C1orf226,-0.36,0.031206148469697027
RAC3,-0.206,0.0312413
MTCP1,0.357,0.03128675
CHRNA2,1.19,0.03131968
CASP14L,-0.639,0.03133402
GNAZ,-0.351,0.031550773537397436
YARS,0.195,0.03167448
GALT,-0.15775,0.03172881011679257
ENDOD1,0.316,0.03188329
TMEM99,-0.237,0.03192414
HMCN1,-0.396,0.03199111
ATP6,0.226,0.03203342
BLVRB,0.301,0.03204215
MFNG,0.339,0.03224104
RAMP3,0.55,0.03230636
ICAM1,0.255,0.0323239
HIST1H1E,-0.244,0.0324431
TCERG1L,0.301,0.03244316
FLJ22763,-0.654,0.0324653
LXN,0.38,0.03253121
PRSS41,-1.13,0.03263949
MPHOSPH9,0.246,0.03266347
MPZL2,-0.2005,0.032670409792350155
EFCAB4A,-0.238,0.03276078
RECQL4,-0.205,0.03277167
AKR1C4,-0.2555,0.03277616084123909
COX16,-0.163,0.0327765
N4BP2L1,-0.618,0.03289368788671648
SLC38A2,-0.15145,0.03297008472576644
LRRTM1,1.05,0.03297665
MCM5,0.16799999999999998,0.033051728597700676
LOC100188947,-0.244,0.03308578
GIPC2,-1.09,0.03309186
PGM3,-0.172,0.03312137
GPSM1,0.04309999999999999,0.03317929063124286
MTL5,-0.04150000000000001,0.03326567081477232
TDRD1,-0.05249999999999999,0.0334391956492381
P2RX7,-0.268,0.03346189802301417
TAS2R7,0.308,0.03361335
MOXD1,-0.248,0.03365123
TSEN2,0.44585,0.03367463472334328
NDUFA4L2,0.577,0.03368215
WIPI1,-0.164,0.03374578
ITPR1,0.231,0.03385113
SLC46A3,0.161,0.03386081
LOC441495,0.08900000000000002,0.0339606265170113
GPT,-0.308,0.03398396
KCNJ8,-0.236,0.03402239
RAPGEF4,-0.357,0.03404345
TRIM16L,0.227,0.03413663
PAGE3,-1.28,0.0342357
ITGA7,-0.215,0.03426253
OSGEPL1,-0.297,0.03439879
ASH1L,-0.467,0.03443831
CGN,-0.206,0.03455548
USP31,0.2155,0.03464841315030341
LOC100130950,0.727,0.03478971
FOLH1B,-0.408,0.03480855
WDR41,-0.236,0.03489171
XLOC_006883,0.376,0.03512537
SPARC,0.359,0.03549333
DICER1-AS,-0.618,0.03550982
PPP1R36,-0.326,0.03554209
RASSF9,-0.791,0.03566863
SERPINB6,0.207,0.035727116915454375
