GENE_SYMBOL,logFC,P.Value
FCER1A,-0.284,0.0149
ANKRD28,-0.255,0.0152
HSD3B1,-0.966,0.0153
LOC100128788,-0.219,0.0156
COL23A1,-0.23299999999999998,0.015619854086362803
MEX3B,0.816,0.0157
C1orf226,-0.33699999999999997,0.0157474698428534
XLOC_014177,0.409,0.0158
SULT1B1,-0.903,0.0158
BSX,0.66,0.0158
VSIG10L,0.274,0.015872691714823944
GSTA2,0.296,0.0159
GPR137C,-0.606,0.016
GPHN,-0.295,0.016
LOC100133089,-0.839,0.0162
ADARB2,-0.4882500000000001,0.016287000029833108
TXNDC3,0.958,0.0164
FAM74A1,1.105,0.016444315290460757
BBX,0.2555,0.016486136925761133
XLOC_003195,0.942,0.0165
C5orf27,-0.264,0.0165
MOGAT1,0.357,0.0165
GP6,-0.85,0.0166
EFEMP1,-0.248,0.0166
LOC100127946,-0.804,0.0167
FOLR2,-0.4215,0.01670624382932495
LOC644662,-0.494,0.017
GZMA,0.49,0.0173
JDP2,0.236,0.0174
FGFBP1,-0.928,0.0174
C1orf133,-0.788,0.0174
FBLN1,-0.2853333333333334,0.01743774198827639
MGC4294,0.707,0.0176
LOC100509091,-0.932,0.0176
DNM3,0.018000000000000016,0.01765703010479346
DGAT2L7,-1.44,0.0177
GSG1,-0.22312500000000002,0.017705296771905625
ZFP14,0.431,0.0178
LOH12CR1,-0.26,0.0179
EFNA4,0.328,0.018
SH3BGRL3,-0.277,0.018057975505345054
ADAMTS5,0.527,0.0181
FRMD6,-0.267,0.0181
RNGTT,0.214,0.018285115742394973
B4GALNT2,-0.751,0.0183
SPTLC2,0.256,0.0183
MYO15B,-0.009666666666666665,0.018333767991591858
KCND3,0.3935,0.018381630506825695
LOC201477,-1.03,0.0184
COL4A3,-0.624,0.0185
IVL,-0.777,0.0185
SPC24,-0.4475,0.018558374913988228
MSR1,-1.3073333333333332,0.018781222257339872
LHX1,-0.915,0.0189
MAOB,0.273,0.0189
PKD2,0.281,0.0189
NIPSNAP3B,0.63,0.019050469675889577
GPR17,0.015000000000000013,0.01906325198919438
ETV3L,1.06,0.0191
LOC285173,-1.19,0.0192
PCYOX1,0.23450000000000001,0.01922644526047675
VPS13A,0.221,0.019226445260476756
PNPLA5,-0.315,0.0194
CYP51A1,0.264,0.0194
ACE2,-0.359,0.0194
XLOC_004881,-0.628,0.0195
CCDC126,0.3836,0.019542397383185976
CYP39A1,0.475,0.0196
PLA2G4D,-0.49,0.0197
HSPB2,-0.329,0.0197
ZNF490,0.249,0.0198
SDS,-0.635,0.0198
GPIHBP1,-0.516,0.02
HSPA12A,0.242,0.02
LOC100506191,0.475,0.0201
MILR1,-0.791,0.0201
HOXB13,0.565,0.0201
C6orf222,-0.922,0.0202
IRS2,-0.32,0.0202
LOC100132273,0.2415,0.020222739818573896
UGT1A8,0.336,0.0203
BGN,0.693,0.0203
SOS2,0.22,0.0204
LOC340074,0.944,0.0206
USH1C,-0.394,0.0207
CPT2,0.229,0.0208
MYEF2,0.48,0.0208
MDH1B,-0.6275,0.020822843124684152
HBB,-0.36625,0.020943828981739118
ZEB2,-0.71,0.020948915141143984
AKAP5,0.77955,0.020995719165826925
S100A9,-0.345,0.021
SIGLEC7,-0.656,0.021
LOC100129648,0.648,0.0211
ECM2,-0.4772333333333334,0.021197166058738275
CENPC1,0.234,0.0212
IDI1,0.204,0.0212
FABP5,-0.25,0.02124823636426463
KIF9,0.35900000000000004,0.021281285641054724
DLG2,-0.43355,0.021377856656938976
MYO1A,-0.361,0.0214
CITED2,-0.23249999999999998,0.02148675575416343
MARVELD1,-0.279,0.0215
ASCL1,-0.943,0.0215
C17orf52,-0.677,0.0216
CLDN5,-0.289,0.0216
LOC283070,0.248,0.0216
BTK,-0.556,0.021637293956193335
APOA1,0.207,0.02177213667451218
PLAT,-0.573,0.0218
TNS4,-0.406,0.0219
OAZ3,-0.28,0.0219
FOXD4L2,-0.686,0.0219
LOC100653108,1.23,0.022
C21orf116,0.779,0.0221
PDGFRL,0.408,0.0221
TMEM120A,-0.243,0.0221
C15orf34,-0.643,0.0222
LOC644727,-0.294,0.0222
ALPI,0.595,0.0222
NANOG,-1.19,0.0222
NEK10,0.38499999999999995,0.022255772801852206
XLOC_002319,-0.29,0.0224
SH3GL3,-0.05149999999999999,0.022461476754159777
MBL2,0.602,0.0225
IFFO2,0.266,0.023
GPR171,-0.92,0.023
RBAK,0.27645,0.0230722769076192
WISP3,0.827,0.0231
PIF1,-0.94,0.0231
KRT20,-0.998,0.0232
PRSS21,0.254,0.0234
LOC284373,-0.299,0.0234
MIP,-0.429,0.0235
TRIM53P,-0.7307,0.023500149675649323
TP53TG3,-0.23905,0.02352487862651052
C9orf102,0.163,0.02354762455112621
LOC649395,-0.307,0.0236
MRVI1-AS1,-0.375,0.0236
SSTR2,-0.819,0.023618631440389427
LOC100127983,-1.55,0.0237
SOX6,-0.352,0.0237
SYT12,-0.243,0.0237
HOXB5,-0.652,0.0237
TLR1,0.312,0.0239
ACAT2,0.217,0.0239
CNTLN,0.30825,0.023931145552876603
SLFN11,-1.23,0.024
GBP2,0.27,0.0241
BPIFB4,0.292,0.0241
LOC339539,-0.699,0.0241
MTHFD1L,-0.17290000000000003,0.024177113268206766
C7orf70,0.22,0.0242
LOC730091,-0.414,0.0243
CRCT1,-0.363,0.0243
HMGCR,0.266,0.0243
HCP5,0.226,0.0244
STAT4,-0.40800000000000003,0.02454903947048635
DUSP4,-0.287,0.0247
RGR,-0.2565,0.024848780794745843
CHD6,0.45766666666666667,0.024856293496441563
VWA1,0.31233333333333335,0.024879404526983933
ADORA3,-1.096,0.02491855087309678
SLC25A15,-0.264,0.025
MYPOP,0.264,0.025
FAM125B,0.321,0.025063276905895666
LINC00310,0.317,0.0251
FLJ37638,-1.13,0.0251
SLC30A4,0.217,0.0253
ZNF595,0.198,0.0253
INSC,-0.497,0.0253
FAM109A,-0.209,0.0254
RAB43P1,-0.789,0.0254
GLTPD1,-0.162225,0.025455430961145806
GALE,-0.206,0.0255
BCAS1,0.271,0.02558783656629898
FOXQ1,-0.477,0.0256
SUZ12P,-0.1875,0.025633346002850787
ATP10B,-0.13899999999999998,0.025791746591680053
PECAM1,-0.16700000000000004,0.025984211725784082
CDH10,-0.703,0.0261
AMTN,-1.68,0.0261
C20orf54,-0.922,0.0261
FLJ45079,-0.838,0.0261
PADI1,-0.809,0.0262
NLRP6,-0.742,0.0263
RMST,-0.964,0.0264
KIFAP3,0.199,0.0265
FASLG,-0.493,0.0267
PEG10,-0.205,0.0267
LINC00355,-0.476,0.0267
CALML4,-0.3205,0.02679715195161352
CCL26,-0.409,0.0268
LOC283575,-0.575,0.0268
LAMA4,-0.035125,0.026834179911407467
TXLNB,-0.41300000000000003,0.02685642629333996
PDE6C,0.359,0.027
FLJ20712,-0.975,0.0271
LOC375196,0.847,0.0272
PTPRCAP,0.385,0.0272
SPINK5,-0.417,0.027513094782937248
F2RL1,-0.289,0.0276
TBX15,-0.441,0.02779667605645891
FA2H,-0.414,0.0278
LOC100506694,-0.219,0.0281
PPP1R14D,-0.356,0.0281
CD3G,-0.572,0.0283
OR2AG1,-0.611,0.0284
KCNJ2,-0.707,0.0284
LOC100131608,0.562,0.0284
MPHOSPH8,0.212,0.0285
C2orf88,-0.203,0.0285
TBCEL,0.254,0.0285
TMCO5A,-0.95,0.0286
MS4A5,-0.359,0.0286
GPR20,-0.452,0.0287
PAMR1,0.286,0.0287
HIST1H3B,-0.232,0.0288
ANGPT1,-0.411,0.0288
SULT1C2,-0.4625,0.028823034723399258
CCL27,-0.219,0.0289
RASIP1,-0.24,0.0289
GJC3,0.552,0.0291
MFAP4,-0.497,0.0292
TUBD1,0.196,0.0292
TMEM35,-0.577,0.0296
FAM13B,0.25,0.0298
C12orf75,-0.217,0.03
MNX1,0.421,0.0301
TRIM15,-0.375,0.0302096442466017
LOC100652857,-0.513,0.0303
INSIG1,0.263,0.0304
LOC100129195,0.907,0.0304
FLJ43663,-0.251,0.0304
KLHL31,-0.306,0.0305
LEPREL1,-0.262,0.0306
TECTB,-0.659,0.0306
PALMD,-0.326,0.0309
NEDD9,-0.22545,0.030918406473179973
TMEM164,-0.21199999999999997,0.031114608782878736
CPXM1,1.15,0.0312
RASSF7,-0.194,0.0312
TCTEX1D1,-0.585,0.0313
C10orf81,-0.24166666666666667,0.03139495385449719
RANBP3L,0.922,0.0314
LOC285626,1.38,0.0314
GLT1D1,0.203,0.0315
SHISA9,0.4165,0.03151945321629793
TUSC3,0.342,0.0316
GCNT4,0.178,0.0317
USP35,0.282,0.0318
PLVAP,1.08,0.0318
DKFZp761E198,0.327,0.0319
NEFH,-0.5945,0.03191481560835007
PLCE1,0.192,0.03198912012890449
PEX26,-0.229,0.03208850170935311
SLC7A5P1,-0.205,0.0321
OR2A5,2.19,0.0321
NTN4,-0.237,0.0321
OR2T4,1.17,0.0324
HAAO,0.2716,0.032401504198433684
ICOS,0.61,0.0325
LILRB1,-1.34,0.0327
PCDHGA12,-0.214,0.0328
XLOC_008115,-0.665,0.0328
C10orf58,0.202,0.032861454038090245
LOC440028,-0.295,0.0329
LOC100131907,-0.583,0.0331
CD163,-0.219,0.0332
SGIP1,-0.633,0.03320319917133391
IRG1,-0.586,0.0334
ZNF652,0.262,0.0334
BRWD1-IT2,0.317,0.0335
DHRS9,-0.575,0.0335
MAML1,-0.02650000000000001,0.03358696975004319
ELL2,-0.305,0.0336
LOC100130175,0.337,0.0336
ABHD14A,0.1525,0.03369971429233574
ARF1,-0.206,0.0338
GLTPD2,-0.225,0.034
PAQR5,-0.224,0.034
KIAA1586,-1.28,0.0341
LILRB3,-0.379,0.03419248407095908
POC1A,0.255,0.0342
ACSS2,0.264,0.0344
NRP1,-0.209,0.034462936421645635
F8A1,0.229,0.0345
XLOC_009194,0.472,0.0345
CA2,0.325,0.0347
LOC441268,-0.605,0.0347
UBD,0.46,0.0348
GOLGA7B,-0.3395,0.03484319364398303
LOC730081,0.651,0.0349
SNTG1,-0.6906333333333333,0.03503349448096499
TIMM8A,-0.19,0.0351
IL1RN,-0.2258,0.035121197225047515
LOC100131825,0.709,0.0352
POFUT2,-0.302,0.0352
GPRC5A,-0.452,0.0352
KCNJ15,-0.9570000000000001,0.035207278218336135
CLK3,-0.57,0.0353
SLC1A1,0.293,0.0353
LOC100499221,-1.44,0.0355
DOCK2,0.4925,0.035526170818805665
PARP9,0.189,0.0358
SULT1E1,-0.961,0.0358
C20orf103,-0.448,0.0359
HIST2H3A,-0.427,0.0359
PCDHB14,0.459,0.0359
FXYD6,-0.479,0.036
PIEZO2,0.43533333333333335,0.036080530718371605
TMEM30A,0.193,0.03618353727561575
ATXN3L,-0.08000000000000002,0.03620406713170213
STAG3,0.006733333333333332,0.036359039208659384
STRBP,0.282,0.0364
PRSS2,-0.278,0.0364
CCDC144A,0.3053,0.036497407207344804
C1QTNF2,-0.578,0.0365
GGT1,-0.185,0.037005188604252504
EXOC6,0.228,0.03703939485405285
SHANK1,0.358,0.0371
TMEM66,0.236,0.0372
AJAP1,-0.30710000000000004,0.03721694430278009
DDR1,0.29945,0.03734676628267195
HLA-DPB1,-0.4234,0.03736915900174416
RNF25,-0.224,0.0374
STMN2,-0.773,0.0374
S1PR3,0.432,0.0375
TMEM184A,-0.2255,0.037512419568850146
LAMA5,-0.186,0.037565852249331795
HMGN1,0.202,0.03759281624348803
LOC338817,-0.761,0.0376
PKLR,-0.311,0.0377
HAVCR1,-0.504,0.0377
PRIMA1,0.32294999999999996,0.03781608661307058
REEP1,0.403,0.0379
C3orf32,-0.371,0.0379
SULF2,0.215,0.0379
LOC440335,-0.408,0.0379
TMEM52,-0.2005,0.038032756207847185
FDFT1,0.231,0.0383
UTP3,-0.174,0.0384
PSG3,-0.625,0.0384
ZBTB44,0.209,0.0386
XLOC_004620,-0.34,0.0387
DGCR9,0.385,0.0388
DPCR1,-0.639,0.0388
FOXA1,0.5488500000000001,0.03887635893563838
SERPING1,0.240625,0.03890705295573797
CHRNA6,0.275,0.039
FAM197Y2P,0.697,0.039
C8orf47,0.195,0.039
IL3RA,-0.537,0.039
XLOC_000470,1.03,0.0391
TCF7L1,0.338,0.0391
LOC100288884,0.3035,0.039132945300644324
UBXN8,-0.184,0.039296129161811064
PRR12,0.238,0.0393
ACAD11,0.232,0.0393
WFIKKN1,0.426,0.0397
APOA4,-0.254,0.0397
KIF17,-0.239,0.0397
LOC100128881,0.052500000000000005,0.039796762482742463
WDR7,0.22,0.0398
FAM198B,-0.559,0.0399
THRB,-0.2335,0.03999789778083757
SGK2,0.232,0.04
AMICA1,-0.0725,0.040037494390902734
G6PC,-0.599,0.0403
MT2A,0.184,0.0403
ZNF415,-0.413,0.0403
TNFRSF1B,-0.20950000000000002,0.0403184115425836
CD80,-0.467,0.0405
NAGS,-0.237,0.0405
DCD,-1.0,0.0405
GYS2,-0.361,0.0406
PRSS3,-0.279,0.0406
NUPR1,0.197,0.0406
MECOM,-0.33663333333333334,0.04068292776413512
LOC286272,0.8,0.0407
IQCA1,0.21602666666666662,0.04072420300013696
CSMD2,-0.09987499999999999,0.04076112080372799
FGF18,0.343,0.0408
BTBD11,0.4,0.0408
GRAMD1A,0.406,0.0408
SFTA1P,-0.27,0.0408
TM4SF1,-0.3275,0.040897293603291786
THEM5,-0.97,0.0409
WTIP,0.292,0.0409
LINC00087,0.265,0.0409237180785154
NFKB1,0.169,0.041
ZCCHC24,0.21,0.0411
RTN4R,0.278,0.0412
FLJ46906,-0.317,0.0412
LOC100133920,-0.359,0.0412
C1S,0.38749999999999996,0.04135390977191871
LOC100652797,-0.483,0.0414
VCX2,0.41700000000000004,0.041465761364075746
CCRL2,-0.888,0.04147868173492143
NOS1,0.377,0.04154823624937532
PLEKHF1,0.259,0.0416
FDPSL2A,0.251,0.0416
HS3ST3B1,0.107,0.0416177626142153
ARL9,-0.203,0.0417
F3,-0.342,0.0417
CXorf27,-0.505,0.0417
EMP2,0.195,0.04185493412451675
CYP27C1,0.9925,0.04186485051383978
CCRN4L,-0.569,0.0419
MMP1,-0.41,0.0419
RANBP9,0.21350000000000002,0.04198875740092652
ARHGAP25,-0.413,0.042
HTR3C,-0.936,0.042
LPCAT2,-0.016499999999999987,0.042088512312302706
CLIP1,0.191,0.0422
LIPG,-0.309,0.0422
LARGE,0.179,0.0422
HMGA2,-0.5806666666666667,0.04228639265276113
GGT3P,-0.238,0.0424
RCL1,-0.10866666666666668,0.04240601794402165
ABCA3,0.19,0.0425
SLC17A2,-0.4385,0.042633625965986174
MYO1G,-0.929,0.0427
TENC1,-0.244,0.0427
COPG2,-0.178,0.0428
PCOLCE2,0.192,0.0428
LOC400238,-0.456,0.043
MCAM,0.294,0.043
SHANK2,0.205,0.04307866985673136
CCNB2,-0.253,0.0431
C6orf97,0.28800000000000003,0.043148207738015934
AIM1,-0.219,0.0432
HLA-DRA,-1.23,0.0432
CIDECP,-0.348,0.0433
KIF1A,0.755,0.0434
TRPV6,-0.3165,0.04355525959791609
FAM107A,0.287,0.0437
VSX2,-0.808,0.0438
C15orf26,0.662,0.0439
SRSF4,0.177,0.0439
LOC100130800,0.495,0.044
EIF4E,-0.152,0.044077422707077256
TSR1,-0.186,0.0441
SESN1,0.285,0.0442
LHX2,-0.42,0.0443
OR10V1,-0.576,0.0443
SPINK13,-0.517,0.0444
LY96,-0.201,0.0444
TMEM99,-0.232,0.0444
KLF13,0.241,0.0444
AVPI1,-0.16499999999999998,0.04440910510472631
AQP7P1,-0.2193333333333333,0.04446720962846423
GSTA5,0.29,0.0445
SCPEP1,0.28200000000000003,0.044595206379778526
XLOC_005273,-0.531,0.0446
MYOM1,-0.192,0.0447
MTR,0.24216666666666667,0.04475102369356709
LOC729088,0.322,0.0448
GOLGA8F,-0.619,0.0449
NEURL2,-0.276,0.045
DHCR7,0.245,0.045
SNAI2,-0.352,0.045
TCERG1L,0.271,0.045
FBXL22,-0.513,0.0451
ANKRD26P1,-0.8255,0.04522487012291721
CRYGC,-0.567,0.0453
NCF1,-0.29974999999999996,0.04538945112145853
CCDC150,0.496,0.0454
MRPL42P5,0.191,0.0454
LRRC70,-0.347,0.0454
CASP6,0.248,0.0454
ZSCAN5D,-0.0975,0.045466021550416
ADCY1,0.496,0.0455
LYZL4,-0.189,0.0456
AKR7A2P1,-0.217,0.0456
GDF1,0.515,0.0457
FLJ45950,-0.267,0.0458
MGC10814,-0.229,0.046
LINC00165,-1.25,0.046
ABAT,0.376,0.04611981316150547
TMEM232,-0.873,0.0462
CTNND2,-0.216,0.0462
TMED1,-0.206,0.0464
CDO1,0.218,0.0466
CPVL,0.158,0.0466
MYCL1,0.5994999999999999,0.046611058654373684
RSPH4A,-0.37849999999999995,0.04665740854701955
NKAIN1,0.611,0.0467
CDH23,-0.319,0.04673687610146193
IGF2BP3,-0.392,0.0468
ZFHX2,-0.42100000000000004,0.0468407640456627
IGSF5,-0.833,0.0469
RBBP8,-0.203,0.0469
GPR115,-0.262,0.047
SEC11C,0.167,0.0472
DSG4,0.771,0.0472
SEPT6,0.2655,0.047255546191387145
CHPF,0.065,0.04726661377166997
CACNG5,0.417,0.0473
IL27RA,0.225,0.0476
KCTD12,-0.7224999999999999,0.04766403867522457
PRLR,-0.4533333333333333,0.04769964957675159
FZD2,0.291,0.0477
GP1BB,0.2575,0.04772414686357106
SLC34A2,-0.524,0.0478
RHBDD2,0.207,0.0478
TMEM131,0.163,0.0478
PPP1R1C,-0.365,0.04781820769862977
CYBA,-0.384,0.0479
FLT3LG,0.266,0.0479
RANBP10,0.192,0.0479
LOC201651,-0.335,0.048
C2orf65,-0.41,0.04806561480432376
FHDC1,-0.506,0.0481
KIAA1614,-0.352,0.0481
TNFSF18,-0.222,0.0482
KLRB1,0.738,0.0483
XAF1,0.0595,0.0486406983864803
CA13,-0.183,0.0488
C17orf88,0.27,0.0488
CDH11,-0.27699999999999997,0.04886127927255048
PHF17,-0.15,0.04916071246055606
IGFBP3,-0.25,0.0493
LOC100652851,-0.361,0.0494
PALLD,-0.055833333333333325,0.04947897082495782
IRGQ,0.246,0.0495
MSMB,-0.426,0.0496
OR6B2,-0.745,0.0497
PLEKHM3,0.06533333333333334,0.04977440982868236
ZNF358,0.348,0.0498
RHCG,-0.375,0.0499
KIAA0485,0.41,0.0499
