GENE_SYMBOL,logFC,P.Value
LOC400927,0.4325,0.0010376149311829732
MGC39372,1.17,0.00104
NR4A3,-0.385,0.0010490795286271968
ACSL3,1.09,0.00106
COL1A2,-1.02,0.00107
ASS1,-0.40449999999999997,0.0010764856504806674
ATF7IP2,0.423,0.00108
SLC25A34,-0.599,0.00108
SERPIND1,0.52,0.00109
AURKB,-1.15,0.00109
LOC201477,-2.32,0.00111
LOC643037,-1.5,0.00113
THBS1,-0.6445000000000001,0.001145082165591844
ACSS2,0.588,0.00115
LOX,-0.639,0.00115
SLC25A23,0.402,0.001152963025827947
TUBA3D,-0.757,0.00116
PRDX4,-0.3866666666666667,0.0011706298036627033
DOCK9,0.3726,0.001175114148939112
CRIP1,-0.48066666666666663,0.0011834854536279626
SLC25A10,-0.447,0.00122
FAP,-1.02,0.00123
MOCS1,0.284,0.001233973803314618
ANKRD28,-0.516,0.00125
CENPF,-0.30443,0.0012727257395884386
LOC338739,-0.926,0.00128
LOC100134259,-0.376,0.00128
TFR2,-0.461,0.0013
ID2,-0.4515,0.0013156900950028554
NR2F2,-0.494,0.00132
HYAL3,-0.364,0.0013352975501551676
CTSC,-0.36033333333333334,0.0013387057800284242
FBXW10,0.478,0.00134
LOC727869,-0.881,0.00134
LOC100128077,0.307,0.0013437609751398712
RGS2,-0.652,0.00136
FGA,-0.786,0.0013661175600589127
UGT1A8,0.607,0.00138
STYK1,-0.901,0.00141
ASAP2,0.837,0.00141
UBE2C,-0.711,0.00142
CXCR7,0.365,0.00142
ERG,-0.546,0.00143
BCL3,0.435,0.00144
CWH43,-0.728,0.00146
C3orf25,-0.686,0.00147
LOC100130938,-0.844,0.00148
WFDC2,0.5685,0.0014879409275512657
GIMAP4,-0.977,0.00149
KIAA0101,-0.74,0.00149
LOC284581,-0.525,0.0015
MUC13,-0.662,0.0015
KCTD9,-0.233,0.0015197014823964783
APOE,0.558,0.00152
CDCA7L,0.9630000000000001,0.001544461313247698
SMC4,-0.4125,0.0015571602405278317
LOC147004,1.34,0.00157
FAM59A,-0.398,0.00157
HAVCR1,-0.866,0.00158
ABCC6,0.3005,0.001594626790251521
C6,-1.84,0.0016
CENPV,0.512,0.00161
PTPRJ,0.3226,0.0016510354652924317
FBLN1,-0.4033333333333333,0.001659045315832574
MLLT3,-0.317,0.0016763878409297242
LOC100133190,-1.26,0.00168
SEPT4,-0.541,0.00169
ABHD4,0.537,0.00171
C14orf105,-0.654,0.00171
TOX2,0.994,0.00173
PPARGC1A,-0.434,0.00174
SLC6A13,-0.984,0.00174
GBE1,0.361,0.00176
SLC26A2,-0.651,0.00178
FOXL1,0.627,0.00178
GOLGA6C,-0.38,0.0018
PF4,-0.56,0.00181
KLK6,-0.15550000000000003,0.0018118417560959285
SLC26A3,-0.586,0.00186
HRASLS2,-0.952,0.00187
CELF4,-0.459,0.001872761217329565
GGT1,-0.3245,0.0019064619269899467
LOC100128437,-0.942,0.00191
TNFAIP8,-0.314,0.0019152727177206724
ENTPD8,-1.11,0.00192
FNDC5,0.885,0.00193
AMICA1,-0.14200000000000002,0.0019337708460683309
GPD1,-0.785,0.00194
CCL16,0.6415,0.0019495714911606527
LOC338694,-0.727,0.00195
CIDECP,-0.762,0.00197
CREG1,0.395,0.00199
ACADSB,-0.377,0.001991158949570817
SLC2A6,0.3965,0.0020265259418775607
KIF2C,-0.526,0.00203
GDA,-0.318,0.002038499316866166
FYN,-0.688,0.00204
PCOLCE2,0.383,0.00206
PDXK,-0.20072499999999996,0.002069184623741736
CDCA3,-0.552,0.00208
VNN1,-0.749,0.00208
ENKUR,-0.9396666666666667,0.0020851747136575774
TMEM217,0.747,0.00209
ZBED3,-0.734,0.00209
C5orf27,-0.408,0.0021
ACSM3,-0.414,0.00212
KALRN,-0.39175,0.0021294807616509676
DOCK7,0.024999999999999994,0.0021360449038276682
E2F2,-1.04,0.00215
CORO7,0.543,0.00217
CYP2C19,0.813,0.00218
LOC338817,-0.987,0.00219
ACBD4,-0.5775,0.002204223194712543
NRIP1,0.2385,0.002205325765173224
RNPC3,-0.2770666666666667,0.002221347170932562
UBE2E4P,-0.463,0.00223
MYRIP,-0.943,0.00224
ITGA6,0.286,0.002244244457441343
SERHL2,-0.34625,0.00226516371743542
RECQL4,-0.391,0.00229
ANKRD2,-0.503,0.00232
DHCR7,0.498,0.00234
CCL20,-0.525,0.00235
SDS,-1.37,0.00236
C12orf56,-0.361,0.00236
C19orf80,1.35,0.00237
MAP3K14,0.405,0.00238
RORC,-0.477,0.00238
LIMS2,0.43,0.0024043733200128643
LOC100507055,-1.47,0.00241
CNOT6L,-0.356,0.0024121154810029513
ARL10,-1.56,0.00242
SULT2A1,0.908,0.00244
IFITM1,-0.524,0.0024444096851303594
XPNPEP2,-1.0594999999999999,0.0024473995359781823
LAT2,-0.493,0.0024476795516249913
PBK,-1.37,0.00245
CASP14L,-1.68,0.00246
SEMA3B,0.759,0.00248
GADD45G,0.384,0.002484052866740458
KL,-0.985,0.0025
TPM4,0.5635,0.00250504070973377
ADRB1,1.08,0.00252
RBP2,1.23,0.00252
ARL4D,0.583,0.00253
SOX6,-0.807,0.00253
ACSL5,0.325,0.00256
TOX3,0.634,0.00256
SULF1,-0.71,0.00256
PPP1R16A,-0.681,0.00257
LOC284551,0.848,0.00257
TRIM4,0.3375,0.002577472414202749
TDO2,-0.5,0.00258
LOC100131726,1.52,0.00259
MRC1,-1.05,0.00259
REPS1,-0.437,0.0026
UBXN8,-0.296,0.0026077383899003074
UNC5A,1.06,0.00264
TPST1,0.361,0.00264
MSX1,0.705,0.00266
TMEM123,-0.482,0.00266
TMPRSS2,0.455,0.00269
TMEM82,-0.5,0.0027
FAM47E,-0.343,0.00274
C11orf34,-0.894,0.00275
LGALS9C,0.835,0.00275
AKR7L,-0.3335,0.0027588837608674044
CA12,0.869,0.00276
BMP2,-0.551,0.00278
SLC6A16,-0.407,0.00278
HJURP,-1.12,0.00279
VWA1,0.4573333333333333,0.002794247868454354
TPD52,-0.1515,0.0027970128114074948
TMEM105,-0.71,0.0028
PDLIM3,0.501,0.002833366766804994
GAS2L2,0.7615,0.002836304551017194
BATF,-0.524,0.00284
NNMT,-0.619,0.00285
LOC100170939,-0.377,0.00287
RMST,-1.34,0.00287
GPR153,-0.961,0.00288
ATOH8,-0.834,0.0028823821933256573
AHCYL1,0.27349999999999997,0.0029330487545260087
SLC38A4,-0.8985000000000001,0.0029383495654566496
SLC38A11,-1.28,0.00294
LOC100272216,-0.325,0.00294
SLC17A6,-0.873,0.00295
SULT1E1,-2.36,0.00296
TMEM9B,-0.292,0.00297
DSEL,-1.3325,0.0029702867796903456
FAM110B,-0.515,0.00298
FAM111B,-2.0,0.00299
STARD13,-0.534,0.002995084955997328
AHR,0.3185,0.002995609683853697
WWC3,0.302,0.00301
CPS1,-1.37,0.00302
EPHX1,0.882,0.00305
BTG2,0.414,0.00305
RAB43P1,-0.895,0.00306
GSTA2,0.455,0.00307
SMOC1,-0.4065,0.0030736338201096092
LOC728819,0.853,0.00308
SHC4,-1.46,0.00309
NPPB,0.675,0.003103617597444934
DBNDD1,-0.448,0.00313
TRIM36,-0.443,0.00314803508917832
CYP4A22,-1.73,0.00316
LOC100131067,-0.799,0.00316
TP53I3,0.22,0.0031853078632656127
ZFP57,0.813,0.0032
CETP,1.14,0.00323
ISCA1,0.24333333333333332,0.0032535019542539634
PAR4,-1.22,0.00326
KIF1A,1.51,0.00327
REN,0.423,0.00328
ADRB2,0.671,0.00331
CXorf27,-0.812,0.00332
ARRB2,0.6,0.00332
GEMIN8,-0.291,0.00336
LECT2,-1.86,0.00339
C14orf33,-0.388,0.0034
COQ3,-0.36,0.003400648519962555
KIAA0319,1.11,0.00341
ASGR2,-0.395,0.00342
SIGLEC11,0.772,0.00342
VCPIP1,-0.228,0.0034394749552988306
ZNF703,0.8660000000000001,0.0034634937810569203
HLA-J,0.46,0.00347
CARD10,0.421,0.0035
BLVRB,0.326,0.00355
CRCT1,-0.855,0.00355
CEACAM20,-0.514,0.00355
SPRR2E,0.412,0.00356
USP2,0.7585,0.00356284810130573
GBP5,0.53,0.00357
RHOF,0.897,0.00357
SLC9A9,-0.803,0.0036
MYADM,0.4075,0.003618246208113989
FAM161A,-0.26,0.0036365758557363706
PANK1,-0.609,0.00369
HMCN1,-0.541,0.00371
BPY2B,-1.23,0.00371
TAGLN2,0.525,0.00372
SDCBP2,-0.384,0.00373
XLOC_006253,-0.255,0.0037372605368296355
G6PC,-1.47,0.00374
BBOX1,-0.607,0.00375
SRPX2,-0.46,0.00376
IDI2-AS1,-0.31,0.00377
AKR1B10,0.2475,0.003785092538845478
GLP2R,-0.5886666666666667,0.0038073268906393715
SCARA3,0.501,0.0038143528935062256
SERPINF2,-1.11,0.00382
AQP9,0.449,0.00383
KIAA1217,0.4093333333333333,0.003832893077623374
C8G,-0.269,0.0038421894673814163
HLX,-0.415,0.00385
NUP210L,1.77,0.00385
UNC93A,1.37,0.00386
CYP2C9,0.786,0.00389
ASPA,-0.726,0.0039
ALDH6A1,-0.428,0.00393
PDK4,-0.533,0.00393
F2RL2,1.13,0.00393
CYP4X1,-1.77,0.00396
CCR9,1.2,0.00397
FLJ46906,-0.435,0.00398
ALB,-0.554,0.004
CD3G,-0.656,0.00401
CALML4,-0.8165,0.004034316012637175
CRYAA,0.8250000000000001,0.004036780351787063
HMMR,-0.552,0.00404
GGTLC1,-0.306,0.00405
PLIN4,-0.319,0.00406
KDM6A,0.3715,0.004069972997600401
HIST1H1C,-0.366,0.00409
CPVL,0.577,0.0041
AVPI1,-0.2515,0.00410397670601906
C12orf75,-0.461,0.00414
PNPLA5,-0.559,0.00415
TBC1D1,0.19300000000000003,0.0041683393412063644
KLKB1,-0.874,0.00419
AREG,-0.6365000000000001,0.004192162243727748
IFIT3,0.384,0.0042
ZNF684,-0.429,0.004253058632333317
HADHB,-0.309,0.00429
LONRF2,0.375,0.004291176639158356
SRXN1,0.394,0.0043
RPRML,-1.0505,0.004307595195036209
BAMBI,-0.372,0.00431
SRD5A3,-0.432,0.00431
PRODH,-0.4699,0.004317252411362182
C4BPB,-0.63,0.00436
ANK3,-0.21393,0.004390509508013915
BID,0.23349999999999999,0.00439538330856366
C1R,0.4425,0.004398413628643717
BTBD16,-0.722,0.00441
ETFDH,-0.445,0.00441
NEDD9,-0.38470000000000004,0.004415150530769158
KRT20,-1.81,0.00444
LOC100130540,-0.797,0.00448
PPP2R2C,0.441,0.00449
TRIM15,-0.5954999999999999,0.004499108864576085
C17orf110,-0.428,0.00451
RAB14,-0.407,0.00453
RNF19A,0.333,0.00453
AIF1L,-0.10274999999999998,0.004535717722191957
FHDC1,1.06,0.00455
ADAMTS1,-0.3325,0.0045558674227386955
CXCL5,-0.487,0.00456
TMEM63A,-0.04400000000000001,0.004562573350000869
CDC45,-0.331,0.00457
FAH,-0.321,0.00457
KYNU,-0.3895,0.004570452804554433
CBLN3,-0.318,0.00459
CRYAB,-0.573,0.00459
MCCC1,-0.286,0.00461
FAT4,-0.4835,0.0046149943880925155
C1S,0.626,0.004641727328477251
NAA50,-0.2465,0.004661183562664931
TIAM2,0.301,0.00467664965850065
PHKA1,0.5680000000000001,0.004698859280787759
SLCO2A1,-0.733,0.00473
C1orf9,-0.305,0.00474
MLYCD,-0.348,0.00474
LONRF1,0.365,0.00477
NADKD1,-0.402,0.00478
NTF3,0.319,0.0048
PGM2,0.598,0.00483
P4HA3,-0.741,0.00484
LOC728723,-1.26,0.00484
C14orf182,-0.825,0.004871422542138752
HBEGF,0.804,0.00492
FABP3,1.14,0.00494
DHRS3,0.574,0.00495
POTEM,-0.6641999999999999,0.004963418100910544
ACAA1,-0.502,0.005
S100A9,-0.448,0.00501
DDC,0.17549999999999996,0.005015074502101133
LBP,-0.429,0.00503
PSAP,0.3995,0.005034675179970081
VNN2,-0.849,0.00505
DHRS11,-0.256,0.005070060511861175
KRTAP12-3,-1.57,0.00511
C9orf103,-0.517,0.00511
NR1H4,-0.368,0.00511
PRAMEF10,1.14,0.00514
FLJ22763,-1.44,0.00514
SLC17A1,-1.16,0.00516
CYP2C8,1.53,0.0052
BHMT,-0.89,0.00522
ICOSLG,0.446,0.005241691199429364
NAV2,-0.48,0.005242738652970642
XLOC_010507,-0.984,0.00528
HSPA12A,0.354,0.00529
LMTK3,0.698,0.00531
SLC6A12,0.707,0.00532
SLC15A3,0.464,0.00532
MT2A,0.306,0.00533
PLIN5,-0.539,0.00534
MECOM,-0.33666666666666667,0.005340922372906423
GSTO2,-0.368,0.00537
CCL5,0.77,0.00538
ARRB1,0.794,0.00539
ADRA1B,-0.629,0.00542
SNED1,0.39449999999999996,0.005423865658715367
NTSR1,0.374,0.00543
CES5A,-0.632,0.00545
TMCC1,0.382,0.00548
JAKMIP2,0.944,0.005520224895844524
ARG1,-1.37,0.005555990602667962
KCNJ8,-0.551,0.00558
RIMBP3,0.416,0.0056
SCGN,-0.76,0.0056
PDE4DIP,-0.23919333333333334,0.0056132380359538965
HAO1,-0.53,0.00562
UGT3A1,-0.643,0.005623620927791667
TAT,-1.44,0.00563
EPHA10,0.13775,0.005640324032545536
KIF4A,-0.6295,0.005664721360972534
SUSD3,-0.553,0.00571
THY1,-1.21,0.00572
C1QTNF2,-0.611,0.00573
AKAP5,0.815,0.005748397523383415
ASCL1,-0.414,0.00575
DCBLD2,-0.24100000000000002,0.005767033764468396
IL28RA,0.40166666666666667,0.005782842704727013
FLJ30901,0.585,0.0058
LBH,0.45655,0.005808913670336165
FBXO43,0.645,0.00581
OSBPL7,0.562,0.00583
WDFY2,-0.463,0.00591
ANKRD29,0.482,0.00593
CTSH,0.414,0.00595
CSF1,0.6226666666666666,0.005952768428782546
SLC2A4RG,-0.401,0.00597
EPS8L3,-0.465,0.00597
LRRC24,-0.352,0.00598
IQCD,0.6950000000000001,0.005980437562009507
GNAI1,-0.337,0.006
XLOC_000515,-0.4186666666666667,0.006016851940048504
KCNQ1OT1,-0.693,0.00607
LOC731656,0.566,0.00607
INO80C,-0.39,0.00609
ARPP19,0.228,0.006102660971536557
ANLN,-0.803,0.00612
C8B,-0.806,0.00616
ZNRF2,-0.402,0.00616
MRPL14,-0.293,0.00616
CLRN3,-1.22,0.00618
NDC80,-0.732,0.00619
SCPEP1,0.502,0.00620611069651958
GLIPR1L2,-0.44576666666666664,0.0062446998909503415
LOC200609,-0.673,0.00627
ANKRD33B,-0.892,0.00628
FLVCR1-AS1,-0.477,0.00631
GGT3P,-0.35,0.00634
TENC1,-0.507,0.00636
ALDH8A1,-1.27,0.00637
PER1,-0.297,0.00637
XLOC_011184,0.218,0.006373726532319947
TBC1D5,0.323,0.00638
NFKBIA,0.298,0.00639
GBP7,-0.937,0.00639
RGS8,-0.695,0.00643
LOC285147,-0.954,0.00644
C1orf116,-0.793,0.00645
SAA2,-0.34199999999999997,0.006499584492982023
VSTM4,-0.13999999999999999,0.006506858277643196
CNN2,0.261,0.00651
EPB49,-0.3065,0.006527887892794543
AGMAT,-0.258,0.00653
ICAM3,-0.438,0.00653
USP31,0.33499999999999996,0.006535655414141155
WDR67,-0.40199999999999997,0.006556557513292594
GRK6,0.2615,0.006559162765880352
TMEM27,-0.398,0.00661
TREM1,0.8599000000000001,0.006620432237406229
GGTLC2,-0.268,0.006675504183117163
ZNF645,-1.3,0.0067
PCOLCE,-0.294,0.00671
SEPP1,-0.4665,0.006714543238392866
HLF,-0.889,0.00677
NCSTN,0.26,0.00677
LOC645586,-1.07,0.0068
NFASC,0.5619999999999999,0.006801260933985226
RNU105A,0.23299999999999998,0.006814742279791878
EFNA4,0.461,0.00684
OSBPL9,0.263,0.0069290360742544094
PRR15L,-0.569,0.00694
HP,-0.477,0.00697
CES5AP1,-0.831,0.00701
HNMT,-0.38233333333333336,0.00702949726093686
CDAN1,0.405,0.00703
EFCAB4A,-0.406,0.00705
GRAMD1A,0.705,0.00706
HTR3C,-0.918,0.00709
HAMP,-1.78,0.00713
SLC13A5,0.644,0.00713
IRS2,-0.529,0.00714
SARDH,-0.32266666666666666,0.007140969772320156
XLOC_005747,0.22166666666666668,0.007155932577655696
ACAD11,-0.461,0.00718
PPP1R1C,-0.3955,0.007197354837282664
ENTPD2,-0.446,0.0072
LOC100131667,-0.477,0.00723
CIDEB,-0.809,0.00724
CXCL1,-0.41600000000000004,0.007271235611777788
KCNC2,-0.42400000000000004,0.007278308825614971
FAM22D,0.027500000000000024,0.007284330677978968
FANCL,-0.2505,0.0072906317465169825
MGC16703,-1.03,0.0073
SSC5D,-0.44889999999999997,0.007302321374958955
RAB23,0.462,0.00734
CERS6,-0.235,0.007405785213448576
GFOD1,-0.38349999999999995,0.007447243954340302
LMCD1,0.707,0.00745
ZFPM2,0.475,0.00748
LOC389831,-0.256,0.007497028205955368
ZAK,-0.265,0.007528568668114742
LEFTY1,1.08,0.00754
SYNPO,0.1995,0.007564517422901868
TMEM150C,0.386,0.00758
RGS14,-0.272,0.0076
RAI14,0.622,0.00762
OSBPL11,0.315,0.00763
HIST2H3A,-0.844,0.00763
PLIN1,-0.579,0.00764
DNAH11,0.44,0.00767
CABYR,0.434,0.007681192291291787
PSG5,-0.761,0.00769888854051236
LITAF,0.336,0.0077
RNF152,-0.342,0.00771
TMEM55A,-0.414,0.00785
CDH17,-1.03,0.00787
AFM,-0.931,0.00788
TMEM97,0.407,0.0079
IL11RA,-0.34,0.00795
ASAP1-IT1,-0.484,0.00797
MFAP4,-0.581,0.00799
IZUMO1,0.871,0.008
PDE8B,-0.525,0.008
LINC00313,-0.458,0.00801
